kind,stage,severity,seed,condition,accuracy,n
ablation,IT,0.26,0,rotated,0.657143,70
ablation,IT,0.26,0,sheared,0.814286,70
ablation,V1,0.26,1,canonical,0.685714,70
ablation,V1,0.26,1,fragmented,0.314286,70
ablation,V1,0.26,1,low_contrast,0.485714,70
ablation,V1,0.26,1,noise,0.142857,70
ablation,V1,0.26,1,crowded,0.328571,70
ablation,V1,0.26,1,rotated,0.428571,70
ablation,V1,0.26,1,sheared,0.457143,70
ablation,V2,0.26,1,canonical,0.800000,70
ablation,V2,0.26,1,fragmented,0.442857,70
ablation,V2,0.26,1,low_contrast,0.671429,70
ablation,V2,0.26,1,noise,0.200000,70
ablation,V2,0.26,1,crowded,0.371429,70
ablation,V2,0.26,1,rotated,0.542857,70
ablation,V2,0.26,1,sheared,0.471429,70
ablation,V4,0.26,1,canonical,0.671429,70
ablation,V4,0.26,1,fragmented,0.285714,70
ablation,V4,0.26,1,low_contrast,0.300000,70
ablation,V4,0.26,1,noise,0.314286,70
ablation,V4,0.26,1,crowded,0.271429,70
ablation,V4,0.26,1,rotated,0.585714,70
ablation,V4,0.26,1,sheared,0.557143,70
ablation,IT,0.26,1,canonical,0.971429,70
ablation,IT,0.26,1,fragmented,0.442857,70
ablation,IT,0.26,1,low_contrast,0.771429,70
ablation,IT,0.26,1,noise,0.885714,70
ablation,IT,0.26,1,crowded,0.571429,70
ablation,IT,0.26,1,rotated,0.728571,70
ablation,IT,0.26,1,sheared,0.814286,70
ablation,V1,0.26,2,canonical,0.571429,70
ablation,V1,0.26,2,fragmented,0.257143,70
ablation,V1,0.26,2,low_contrast,0.385714,70
ablation,V1,0.26,2,noise,0.628571,70
ablation,V1,0.26,2,crowded,0.285714,70
ablation,V1,0.26,2,rotated,0.428571,70
ablation,V1,0.26,2,sheared,0.585714,70
ablation,V2,0.26,2,canonical,0.857143,70
ablation,V2,0.26,2,fragmented,0.528571,70
ablation,V2,0.26,2,low_contrast,0.714286,70
ablation,V2,0.26,2,noise,0.428571,70
ablation,V2,0.26,2,crowded,0.471429,70
ablation,V2,0.26,2,rotated,0.800000,70
ablation,V2,0.26,2,sheared,0.800000,70
ablation,V4,0.26,2,canonical,0.614286,70
ablation,V4,0.26,2,fragmented,0.314286,70
ablation,V4,0.26,2,low_contrast,0.571429,70
ablation,V4,0.26,2,noise,0.485714,70
ablation,V4,0.26,2,crowded,0.285714,70
ablation,V4,0.26,2,rotated,0.457143,70
ablation,V4,0.26,2,sheared,0.414286,70
ablation,IT,0.26,2,canonical,0.828571,70
ablation,IT,0.26,2,fragmented,0.528571,70
ablation,IT,0.26,2,low_contrast,0.785714,70
ablation,IT,0.26,2,noise,0.771429,70
ablation,IT,0.26,2,crowded,0.300000,70
ablation,IT,0.26,2,rotated,0.614286,70
ablation,IT,0.26,2,sheared,0.685714,70
ablation,V1,0.26,3,canonical,0.785714,70
ablation,V1,0.26,3,fragmented,0.357143,70
ablation,V1,0.26,3,low_contrast,0.228571,70
ablation,V1,0.26,3,noise,0.242857,70
ablation,V1,0.26,3,crowded,0.214286,70
ablation,V1,0.26,3,rotated,0.585714,70
ablation,V1,0.26,3,sheared,0.485714,70
ablation,V2,0.26,3,canonical,0.885714,70
ablation,V2,0.26,3,fragmented,0.342857,70
ablation,V2,0.26,3,low_contrast,0.714286,70
ablation,V2,0.26,3,noise,0.685714,70
ablation,V2,0.26,3,crowded,0.371429,70
ablation,V2,0.26,3,rotated,0.685714,70
ablation,V2,0.26,3,sheared,0.742857,70
ablation,V4,0.26,3,canonical,0.842857,70
ablation,V4,0.26,3,fragmented,0.400000,70
ablation,V4,0.26,3,low_contrast,0.614286,70
ablation,V4,0.26,3,noise,0.585714,70
ablation,V4,0.26,3,crowded,0.385714,70
ablation,V4,0.26,3,rotated,0.514286,70
ablation,V4,0.26,3,sheared,0.671429,70
ablation,IT,0.26,3,canonical,0.928571,70
ablation,IT,0.26,3,fragmented,0.428571,70
ablation,IT,0.26,3,low_contrast,0.828571,70
ablation,IT,0.26,3,noise,0.928571,70
ablation,IT,0.26,3,crowded,0.457143,70
ablation,IT,0.26,3,rotated,0.700000,70
ablation,IT,0.26,3,sheared,0.814286,70
ablation,V1,0.26,4,canonical,0.357143,70
ablation,V1,0.26,4,fragmented,0.157143,70
ablation,V1,0.26,4,low_contrast,0.300000,70
ablation,V1,0.26,4,noise,0.128571,70
ablation,V1,0.26,4,crowded,0.114286,70
ablation,V1,0.26,4,rotated,0.171429,70
ablation,V1,0.26,4,sheared,0.371429,70
ablation,V2,0.26,4,canonical,0.942857,70
ablation,V2,0.26,4,fragmented,0.414286,70
ablation,V2,0.26,4,low_contrast,0.800000,70
ablation,V2,0.26,4,noise,0.385714,70
ablation,V2,0.26,4,crowded,0.385714,70
ablation,V2,0.26,4,rotated,0.714286,70
ablation,V2,0.26,4,sheared,0.457143,70
ablation,V4,0.26,4,canonical,0.742857,70
ablation,V4,0.26,4,fragmented,0.300000,70
ablation,V4,0.26,4,low_contrast,0.657143,70
ablation,V4,0.26,4,noise,0.414286,70
ablation,V4,0.26,4,crowded,0.442857,70
ablation,V4,0.26,4,rotated,0.657143,70
ablation,V4,0.26,4,sheared,0.628571,70
ablation,IT,0.26,4,canonical,0.900000,70
ablation,IT,0.26,4,fragmented,0.471429,70
ablation,IT,0.26,4,low_contrast,0.814286,70
ablation,IT,0.26,4,noise,0.900000,70
ablation,IT,0.26,4,crowded,0.485714,70
ablation,IT,0.26,4,rotated,0.671429,70
ablation,IT,0.26,4,sheared,0.800000,70
ablation,V1,0.26,5,canonical,0.828571,70
ablation,V1,0.26,5,fragmented,0.400000,70
ablation,V1,0.26,5,low_contrast,0.400000,70
ablation,V1,0.26,5,noise,0.500000,70
ablation,V1,0.26,5,crowded,0.257143,70
ablation,V1,0.26,5,rotated,0.428571,70
ablation,V1,0.26,5,sheared,0.557143,70
ablation,V2,0.26,5,canonical,0.928571,70
ablation,V2,0.26,5,fragmented,0.314286,70
ablation,V2,0.26,5,low_contrast,0.485714,70
ablation,V2,0.26,5,noise,0.571429,70
ablation,V2,0.26,5,crowded,0.314286,70
ablation,V2,0.26,5,rotated,0.485714,70
ablation,V2,0.26,5,sheared,0.628571,70
ablation,V4,0.26,5,canonical,0.642857,70
ablation,V4,0.26,5,fragmented,0.328571,70
ablation,V4,0.26,5,low_contrast,0.500000,70
ablation,V4,0.26,5,noise,0.285714,70
ablation,V4,0.26,5,crowded,0.428571,70
ablation,V4,0.26,5,rotated,0.385714,70
ablation,V4,0.26,5,sheared,0.342857,70
ablation,IT,0.26,5,canonical,0.842857,70
ablation,IT,0.26,5,fragmented,0.528571,70
ablation,IT,0.26,5,low_contrast,0.700000,70
ablation,IT,0.26,5,noise,0.842857,70
ablation,IT,0.26,5,crowded,0.442857,70
ablation,IT,0.26,5,rotated,0.600000,70
ablation,IT,0.26,5,sheared,0.742857,70
ablation,V1,0.4,0,canonical,0.442857,70
ablation,V1,0.4,0,fragmented,0.300000,70
ablation,V1,0.4,0,low_contrast,0.185714,70
ablation,V1,0.4,0,noise,0.100000,70
ablation,V1,0.4,0,crowded,0.271429,70
ablation,V1,0.4,0,rotated,0.242857,70
ablation,V1,0.4,0,sheared,0.242857,70
ablation,V2,0.4,0,canonical,0.842857,70
ablation,V2,0.4,0,fragmented,0.400000,70
ablation,V2,0.4,0,low_contrast,0.242857,70
ablation,V2,0.4,0,noise,0.257143,70
ablation,V2,0.4,0,crowded,0.200000,70
ablation,V2,0.4,0,rotated,0.542857,70
ablation,V2,0.4,0,sheared,0.457143,70
ablation,V4,0.4,0,canonical,0.100000,70
ablation,V4,0.4,0,fragmented,0.100000,70
ablation,V4,0.4,0,low_contrast,0.185714,70
ablation,V4,0.4,0,noise,0.200000,70
ablation,V4,0.4,0,crowded,0.100000,70
ablation,V4,0.4,0,rotated,0.128571,70
ablation,V4,0.4,0,sheared,0.100000,70
ablation,IT,0.4,0,canonical,0.857143,70
ablation,IT,0.4,0,fragmented,0.485714,70
ablation,IT,0.4,0,low_contrast,0.871429,70
ablation,IT,0.4,0,noise,0.800000,70
ablation,IT,0.4,0,crowded,0.485714,70
ablation,IT,0.4,0,rotated,0.714286,70
ablation,IT,0.4,0,sheared,0.800000,70
ablation,V1,0.4,1,canonical,0.400000,70
ablation,V1,0.4,1,fragmented,0.228571,70
ablation,V1,0.4,1,low_contrast,0.328571,70
ablation,V1,0.4,1,noise,0.214286,70
ablation,V1,0.4,1,crowded,0.242857,70
ablation,V1,0.4,1,rotated,0.271429,70
ablation,V1,0.4,1,sheared,0.257143,70
ablation,V2,0.4,1,canonical,0.885714,70
